Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,1.0,1.0,0.0,0.0
2020-03-03,1.0,1.0,0.0,0.0
2020-03-04,1.0,1.0,0.0,0.0
2020-03-05,1.0,1.0,0.0,0.0
2020-03-06,1.0,1.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0
2020-03-12,0.0,1.0,0.0,1.0
2020-03-13,1.0,1.0,0.0,0.0
2020-03-14,0.0,1.0,0.0,1.0
2020-03-15,0.0,1.0,0.0,1.0
2020-03-16,1.0,2.0,0.0,1.0
2020-03-17,38.0,39.0,0.0,1.0
2020-03-18,38.0,39.0,0.0,1.0
2020-03-19,52.0,53.0,0.0,1.0
2020-03-20,74.0,75.0,0.0,1.0
2020-03-21,87.0,88.0,0.0,1.0
2020-03-22,111.0,113.0,1.0,1.0
2020-03-23,131.0,133.0,1.0,1.0
2020-03-24,162.0,164.0,1.0,1.0
2020-03-25,186.0,188.0,1.0,1.0
2020-03-26,220.0,224.0,3.0,1.0
2020-03-27,263.0,267.0,3.0,1.0
2020-03-28,304.0,308.0,3.0,1.0
2020-03-29,327.0,334.0,6.0,1.0
2020-03-30,352.0,370.0,8.0,10.0
2020-03-31,354.0,376.0,12.0,10.0
2020-04-01,366.0,390.0,14.0,10.0
2020-04-02,403.0,428.0,15.0,10.0
2020-04-03,407.0,439.0,16.0,16.0
2020-04-04,428.0,466.0,17.0,21.0
2020-04-05,457.0,501.0,18.0,26.0
2020-04-06,473.0,525.0,21.0,31.0
2020-04-07,484.0,545.0,22.0,39.0
2020-04-08,489.0,564.0,23.0,52.0
2020-04-09,500.0,583.0,25.0,58.0
2020-04-10,504.0,601.0,26.0,71.0
2020-04-11,504.0,601.0,26.0,71.0
2020-04-12,481.0,638.0,29.0,128.0
2020-04-13,489.0,646.0,29.0,128.0
2020-04-14,500.0,659.0,31.0,128.0
2020-04-15,471.0,673.0,33.0,169.0
2020-04-16,471.0,673.0,33.0,169.0
2020-04-17,470.0,696.0,35.0,191.0
2020-04-18,464.0,704.0,35.0,205.0
2020-04-19,442.0,713.0,36.0,235.0
2020-04-20,432.0,717.0,37.0,248.0
2020-04-21,398.0,717.0,37.0,282.0
2020-04-22,377.0,723.0,37.0,309.0
2020-04-23,353.0,723.0,37.0,333.0
2020-04-24,347.0,731.0,40.0,344.0
2020-04-25,354.0,738.0,40.0,344.0
2020-04-26,354.0,738.0,40.0,344.0
2020-04-27,318.0,743.0,40.0,385.0
2020-04-28,304.0,743.0,41.0,398.0
2020-04-29,278.0,743.0,42.0,423.0
2020-04-30,235.0,745.0,42.0,468.0
2020-05-01,234.0,745.0,43.0,468.0
2020-05-02,231.0,747.0,44.0,472.0
2020-05-03,210.0,748.0,45.0,493.0
2020-05-04,206.0,750.0,45.0,499.0
2020-05-05,191.0,751.0,46.0,514.0
2020-05-06,184.0,751.0,46.0,521.0
2020-05-07,179.0,752.0,47.0,526.0
2020-05-08,168.0,752.0,47.0,537.0
2020-05-09,161.0,754.0,48.0,545.0
2020-05-10,157.0,755.0,48.0,550.0
2020-05-11,157.0,755.0,48.0,550.0
2020-05-12,142.0,758.0,48.0,568.0
2020-05-13,135.0,760.0,49.0,576.0
2020-05-14,116.0,761.0,49.0,596.0
2020-05-15,108.0,761.0,49.0,604.0
2020-05-16,97.94105542175119,761.0,48.05894457824881,615.0
2020-05-17,95.94105542175119,761.0,48.05894457824881,617.0
2020-05-18,88.94105542175119,761.0,48.05894457824881,624.0
2020-05-19,84.94105542175119,761.0,48.05894457824881,628.0
2020-05-20,74.87790306356689,762.0,48.12209693643311,639.0
2020-05-21,74.87790306356689,762.0,48.12209693643311,639.0
2020-05-22,61.87790306356689,762.0,48.12209693643311,652.0
2020-05-23,60.87790306356689,762.0,48.12209693643311,653.0
2020-05-24,60.87790306356689,762.0,48.12209693643311,653.0
2020-05-25,51.8147507053826,763.0,48.1852492946174,663.0
2020-05-26,38.8147507053826,763.0,48.1852492946174,676.0
2020-05-27,38.8147507053826,763.0,48.1852492946174,676.0
2020-05-28,33.8147507053826,763.0,48.1852492946174,681.0
2020-05-29,31.751598347198303,764.0,48.2484016528017,684.0
2020-05-30,23.751598347198303,764.0,48.2484016528017,692.0
2020-05-31,21.751598347198303,764.0,48.2484016528017,694.0
2020-06-01,18.688445989014006,765.0,48.311554010985994,698.0
2020-06-02,57.699409692454665,844.0,53.300590307545335,733.0
2020-06-03,62.2573431851646,851.0,53.7426568148354,735.0
2020-06-04,60.194190826980304,852.0,53.805809173019696,738.0
2020-06-05,57.194190826980304,852.0,53.805809173019696,741.0
2020-06-06,57.194190826980304,852.0,53.805809173019696,741.0
2020-06-07,54.194190826980304,852.0,53.805809173019696,744.0
2020-06-08,47.194190826980304,852.0,53.805809173019696,751.0
2020-06-09,41.194190826980304,852.0,53.805809173019696,757.0
2020-06-10,39.194190826980304,852.0,53.805809173019696,759.0
2020-06-11,18.194190826980304,852.0,53.805809173019696,780.0
2020-06-12,18.131038468796007,853.0,53.86896153120399,781.0
2020-06-13,18.131038468796007,853.0,53.86896153120399,781.0
2020-06-14,18.131038468796007,853.0,53.86896153120399,781.0
