Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,1.0,1.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0
2020-03-08,1.0,1.0,0.0,0.0
2020-03-09,1.0,1.0,0.0,0.0
2020-03-10,1.0,1.0,0.0,0.0
2020-03-11,1.0,1.0,0.0,0.0
2020-03-12,1.0,1.0,0.0,0.0
2020-03-13,1.0,1.0,0.0,0.0
2020-03-14,1.0,1.0,0.0,0.0
2020-03-15,1.0,1.0,0.0,0.0
2020-03-16,1.0,1.0,0.0,0.0
2020-03-17,1.0,1.0,0.0,0.0
2020-03-18,1.0,1.0,0.0,0.0
2020-03-19,1.0,1.0,0.0,0.0
2020-03-20,8.0,9.0,0.0,1.0
2020-03-21,15.0,16.0,0.0,1.0
2020-03-22,15.0,16.0,0.0,1.0
2020-03-23,17.0,18.0,0.0,1.0
2020-03-24,19.0,20.0,0.0,1.0
2020-03-25,22.0,23.0,0.0,1.0
2020-03-26,22.0,23.0,0.0,1.0
2020-03-27,23.0,25.0,1.0,1.0
2020-03-28,23.0,25.0,1.0,1.0
2020-03-29,23.0,25.0,1.0,1.0
2020-03-30,28.0,30.0,1.0,1.0
2020-03-31,23.0,34.0,1.0,10.0
2020-04-01,24.0,36.0,2.0,10.0
2020-04-02,20.0,39.0,2.0,17.0
2020-04-03,20.0,40.0,3.0,17.0
2020-04-04,21.0,41.0,3.0,17.0
2020-04-05,21.0,44.0,3.0,20.0
2020-04-06,32.0,58.0,3.0,23.0
2020-04-07,39.0,65.0,3.0,23.0
2020-04-08,44.0,70.0,3.0,23.0
2020-04-09,46.0,73.0,3.0,24.0
2020-04-10,48.0,76.0,3.0,25.0
2020-04-11,48.0,76.0,3.0,25.0
2020-04-12,44.0,76.0,3.0,29.0
2020-04-13,45.0,77.0,3.0,29.0
2020-04-14,42.0,77.0,3.0,32.0
2020-04-15,43.0,81.0,3.0,35.0
2020-04-16,31.0,81.0,5.0,45.0
2020-04-17,30.0,83.0,5.0,48.0
2020-04-18,30.0,84.0,5.0,49.0
2020-04-19,27.0,84.0,5.0,52.0
2020-04-20,25.0,84.0,6.0,53.0
2020-04-21,24.0,86.0,6.0,56.0
2020-04-22,26.0,88.0,6.0,56.0
2020-04-23,23.0,88.0,6.0,59.0
2020-04-24,25.0,90.0,6.0,59.0
2020-04-25,28.0,96.0,6.0,62.0
2020-04-26,30.0,98.0,6.0,62.0
2020-04-27,30.0,98.0,6.0,62.0
2020-04-28,30.0,99.0,6.0,63.0
2020-04-29,38.0,109.0,7.0,64.0
2020-04-30,42.0,116.0,9.0,65.0
2020-05-01,48.0,123.0,9.0,66.0
2020-05-02,48.0,123.0,9.0,66.0
2020-05-03,48.0,124.0,9.0,67.0
2020-05-04,43.0,126.0,9.0,74.0
2020-05-05,45.0,128.0,9.0,74.0
2020-05-06,42.0,128.0,9.0,77.0
2020-05-07,41.0,135.0,9.0,85.0
2020-05-08,50.0,145.0,10.0,85.0
2020-05-09,56.0,153.0,10.0,87.0
2020-05-10,74.0,174.0,11.0,89.0
2020-05-11,81.0,181.0,11.0,89.0
2020-05-12,96.0,199.0,11.0,92.0
2020-05-13,112.0,219.0,11.0,96.0
2020-05-14,131.0,238.0,11.0,96.0
2020-05-15,156.0,263.0,11.0,96.0
2020-05-16,188.0,298.0,11.0,99.0
2020-05-17,186.0,301.0,11.0,104.0
2020-05-18,212.0,330.0,12.0,106.0
2020-05-19,219.0,338.0,12.0,107.0
2020-05-20,218.0,340.0,12.0,110.0
2020-05-21,224.0,354.0,12.0,118.0
2020-05-22,230.0,363.0,12.0,121.0
2020-05-23,228.0,373.0,12.0,133.0
2020-05-24,228.0,381.0,12.0,141.0
2020-05-25,206.37427023148857,386.0,18.625729768511434,161.0
2020-05-26,195.13300430184464,391.0,18.866995698155364,177.0
2020-05-27,192.9399915581295,395.0,19.060008441870508,183.0
2020-05-28,204.63715553805227,422.0,20.36284446194773,197.0
2020-05-29,205.34763642247955,428.0,20.652363577520447,202.0
2020-05-30,206.10637049283562,433.0,20.89362950716438,206.0
2020-05-31,209.67209181947655,442.0,21.327908180523455,211.0
2020-06-01,206.62383863354776,443.0,21.37616136645224,215.0
2020-06-02,193.5273322616902,445.0,21.472667738309813,230.0
2020-06-03,194.1895599601887,452.0,21.810440039811315,236.0
2020-06-04,203.56226854311447,465.0,22.437731456885533,239.0
2020-06-05,221.59720482453875,485.0,23.402795175461257,240.0
2020-06-06,223.50069845268118,487.0,23.49930154731883,240.0
2020-06-07,223.1146729652509,495.0,23.885327034749118,248.0
2020-06-08,222.01816659339332,497.0,23.98183340660669,251.0
2020-06-09,216.82515384967817,501.0,24.174846150321834,260.0
2020-06-10,231.81183694517367,522.0,25.18816305482634,265.0
2020-06-11,227.7153305733161,524.0,25.284669426683912,271.0
2020-06-12,220.6670773873873,525.0,25.3329226126127,279.0
2020-06-13,213.42581145774338,530.0,25.57418854225663,291.0
2020-06-14,213.42581145774338,530.0,25.57418854225663,291.0
2020-06-15,206.3775582718146,531.0,25.622441728185414,299.0
2020-06-16,167.08803915624188,537.0,25.911960843758134,344.0
