Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,1.0,1.0,0.0,0.0
2020-03-17,1.0,1.0,0.0,0.0
2020-03-18,2.0,2.0,0.0,0.0
2020-03-19,2.0,2.0,0.0,0.0
2020-03-20,2.0,2.0,0.0,0.0
2020-03-21,2.0,2.0,0.0,0.0
2020-03-22,2.0,2.0,0.0,0.0
2020-03-23,5.0,5.0,0.0,0.0
2020-03-24,6.0,6.0,0.0,0.0
2020-03-25,6.0,6.0,0.0,0.0
2020-03-26,6.0,6.0,0.0,0.0
2020-03-27,6.0,6.0,0.0,0.0
2020-03-28,6.0,6.0,0.0,0.0
2020-03-29,6.0,6.0,0.0,0.0
2020-03-30,6.0,6.0,0.0,0.0
2020-03-31,8.0,9.0,0.0,1.0
2020-04-01,12.0,13.0,0.0,1.0
2020-04-02,12.0,13.0,0.0,1.0
2020-04-03,14.0,16.0,0.0,2.0
2020-04-04,14.0,16.0,0.0,2.0
2020-04-05,17.0,22.0,0.0,5.0
2020-04-06,20.0,26.0,1.0,5.0
2020-04-07,20.0,26.0,1.0,5.0
2020-04-08,20.0,26.0,1.0,5.0
2020-04-09,20.0,26.0,1.0,5.0
2020-04-10,29.0,35.0,1.0,5.0
2020-04-11,29.0,35.0,1.0,5.0
2020-04-12,29.0,35.0,1.0,5.0
2020-04-13,29.0,35.0,1.0,5.0
2020-04-14,16.0,35.0,1.0,18.0
2020-04-15,16.0,35.0,1.0,18.0
2020-04-16,16.0,35.0,1.0,18.0
2020-04-17,16.0,35.0,1.0,18.0
2020-04-18,16.0,35.0,1.0,18.0
2020-04-19,16.0,35.0,1.0,18.0
2020-04-20,26.0,54.0,1.0,27.0
2020-04-21,26.0,54.0,1.0,27.0
2020-04-22,26.0,54.0,1.0,27.0
2020-04-23,26.0,54.0,1.0,27.0
2020-04-24,26.0,54.0,1.0,27.0
2020-04-25,26.0,54.0,1.0,27.0
2020-04-26,30.0,64.0,1.0,33.0
2020-04-27,30.0,64.0,1.0,33.0
2020-04-28,30.0,64.0,1.0,33.0
2020-04-29,30.0,64.0,1.0,33.0
2020-04-30,30.0,64.0,1.0,33.0
2020-05-01,46.0,90.0,2.0,42.0
2020-05-02,46.0,90.0,2.0,42.0
2020-05-03,46.0,90.0,2.0,42.0
2020-05-04,44.0,96.0,2.0,50.0
2020-05-05,44.0,96.0,2.0,50.0
2020-05-06,44.0,96.0,2.0,50.0
2020-05-07,85.0,140.0,2.0,53.0
2020-05-08,178.0,242.0,2.0,62.0
2020-05-09,220.0,284.0,2.0,62.0
2020-05-10,255.0,319.0,2.0,62.0
2020-05-11,255.0,319.0,2.0,62.0
2020-05-12,249.0,327.0,2.0,76.0
2020-05-13,242.0,327.0,2.0,83.0
2020-05-14,254.0,339.0,2.0,83.0
2020-05-15,254.0,339.0,2.0,83.0
2020-05-16,254.0,339.0,2.0,83.0
2020-05-17,254.0,339.0,2.0,83.0
2020-05-18,254.0,339.0,2.0,83.0
2020-05-19,45.0,130.0,2.0,83.0
2020-05-20,71.0,130.0,2.0,57.0
2020-05-21,71.0,135.0,3.0,61.0
2020-05-22,71.0,135.0,3.0,61.0
2020-05-23,71.0,135.0,3.0,61.0
2020-05-24,106.0,191.0,3.0,82.0
2020-05-25,104.0,191.0,3.0,84.0
2020-05-26,87.0,208.0,3.0,118.0
2020-05-27,73.0,210.0,3.0,134.0
2020-05-28,73.0,210.0,3.0,134.0
2020-05-29,85.0,224.0,3.0,136.0
2020-05-30,85.0,224.0,3.0,136.0
2020-05-31,86.0,232.0,3.0,143.0
2020-06-01,93.0,243.0,3.0,147.0
2020-06-02,93.0,244.0,3.0,148.0
2020-06-03,93.0,244.0,3.0,148.0
2020-06-04,107.0,261.0,3.0,151.0
2020-06-05,107.0,261.0,3.0,151.0
2020-06-06,107.0,261.0,3.0,151.0
2020-06-07,107.0,261.0,3.0,151.0
2020-06-08,98.0,288.0,4.0,186.0
2020-06-09,113.0,305.0,4.0,188.0
2020-06-10,113.0,305.0,4.0,188.0
2020-06-11,113.0,305.0,4.0,188.0
2020-06-12,166.0,388.0,5.0,217.0
2020-06-13,184.0,412.0,6.0,222.0
2020-06-14,208.0,442.0,6.0,228.0
2020-06-15,242.0,483.0,9.0,232.0
2020-06-16,287.0,532.0,9.0,236.0
2020-06-17,326.0,572.0,9.0,237.0
2020-06-18,348.0,597.0,11.0,238.0
2020-06-19,392.0,650.0,11.0,247.0
2020-06-20,392.0,650.0,11.0,247.0
2020-06-21,499.0,765.0,13.0,253.0
2020-06-22,541.0,807.0,13.0,253.0
2020-06-23,565.0,850.0,13.0,272.0
2020-06-24,612.0,902.0,13.0,277.0
