Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,1.0,1.0,0.0,0.0
2020-03-17,1.0,1.0,0.0,0.0
2020-03-18,2.0,2.0,0.0,0.0
2020-03-19,2.0,2.0,0.0,0.0
2020-03-20,2.0,2.0,0.0,0.0
2020-03-21,3.0,3.0,0.0,0.0
2020-03-22,3.0,3.0,0.0,0.0
2020-03-23,3.0,3.0,0.0,0.0
2020-03-24,3.0,3.0,0.0,0.0
2020-03-25,3.0,3.0,0.0,0.0
2020-03-26,3.0,3.0,0.0,0.0
2020-03-27,3.0,3.0,0.0,0.0
2020-03-28,3.0,3.0,0.0,0.0
2020-03-29,3.0,3.0,0.0,0.0
2020-03-30,3.0,3.0,0.0,0.0
2020-03-31,3.0,3.0,0.0,0.0
2020-04-01,6.0,6.0,0.0,0.0
2020-04-02,6.0,6.0,0.0,0.0
2020-04-03,7.0,7.0,0.0,0.0
2020-04-04,6.0,10.0,1.0,3.0
2020-04-05,7.0,13.0,3.0,3.0
2020-04-06,8.0,14.0,3.0,3.0
2020-04-07,8.0,14.0,3.0,3.0
2020-04-08,24.0,31.0,4.0,3.0
2020-04-09,24.0,31.0,4.0,3.0
2020-04-10,29.0,37.0,5.0,3.0
2020-04-11,40.0,48.0,5.0,3.0
2020-04-12,42.0,50.0,5.0,3.0
2020-04-13,49.0,59.0,6.0,4.0
2020-04-14,49.0,59.0,6.0,4.0
2020-04-15,49.0,59.0,6.0,4.0
2020-04-16,49.0,59.0,6.0,4.0
2020-04-17,62.0,76.0,7.0,7.0
2020-04-18,62.0,76.0,7.0,7.0
2020-04-19,76.0,91.0,8.0,7.0
2020-04-20,84.0,99.0,8.0,7.0
2020-04-21,86.0,101.0,8.0,7.0
2020-04-22,73.0,101.0,8.0,20.0
2020-04-23,73.0,101.0,8.0,20.0
2020-04-24,84.0,117.0,8.0,25.0
2020-04-25,84.0,120.0,11.0,25.0
2020-04-26,87.0,124.0,12.0,25.0
2020-04-27,87.0,124.0,12.0,25.0
2020-04-28,80.0,141.0,16.0,45.0
2020-04-29,80.0,141.0,16.0,45.0
2020-04-30,80.0,141.0,16.0,45.0
2020-05-01,89.0,152.0,18.0,45.0
2020-05-02,88.0,154.0,18.0,48.0
2020-05-03,82.0,158.0,18.0,58.0
2020-05-04,90.0,166.0,18.0,58.0
2020-05-05,92.0,170.0,20.0,58.0
2020-05-06,83.0,178.0,20.0,75.0
2020-05-07,90.0,189.0,20.0,79.0
2020-05-08,100.0,199.0,20.0,79.0
2020-05-09,100.0,199.0,20.0,79.0
2020-05-10,100.0,199.0,20.0,79.0
2020-05-11,106.0,211.0,20.0,85.0
2020-05-12,106.0,211.0,20.0,85.0
2020-05-13,92.0,213.0,20.0,101.0
2020-05-14,90.0,215.0,20.0,105.0
2020-05-15,91.0,219.0,20.0,108.0
2020-05-16,87.0,223.0,20.0,116.0
2020-05-17,85.0,226.0,21.0,120.0
2020-05-18,84.0,229.0,22.0,123.0
2020-05-19,85.0,233.0,23.0,125.0
2020-05-20,87.0,238.0,23.0,128.0
2020-05-21,86.0,240.0,23.0,131.0
2020-05-22,89.0,249.0,24.0,136.0
2020-05-23,93.0,255.0,26.0,136.0
2020-05-24,100.0,265.0,26.0,139.0
2020-05-25,98.0,265.0,26.0,141.0
2020-05-26,96.0,266.0,26.0,144.0
2020-05-27,95.0,266.0,27.0,144.0
2020-05-28,98.0,269.0,27.0,144.0
2020-05-29,100.0,273.0,27.0,146.0
2020-05-30,105.0,280.0,27.0,148.0
2020-05-31,104.0,288.0,27.0,157.0
2020-06-01,110.0,296.0,27.0,159.0
2020-06-02,116.0,311.0,28.0,167.0
2020-06-03,119.0,316.0,28.0,169.0
2020-06-04,118.0,321.0,28.0,175.0
2020-06-05,128.0,334.0,30.0,176.0
2020-06-06,130.0,345.0,30.0,185.0
2020-06-07,135.0,359.0,30.0,194.0
2020-06-08,145.0,370.0,30.0,195.0
2020-06-09,153.0,383.0,31.0,199.0
2020-06-10,166.0,397.0,31.0,200.0
2020-06-11,173.0,410.0,31.0,206.0
2020-06-12,179.0,421.0,32.0,210.0
2020-06-13,200.0,446.0,32.0,214.0
2020-06-14,207.0,458.0,32.0,219.0
2020-06-15,244.0,498.0,33.0,221.0
2020-06-16,254.0,509.0,33.0,222.0
2020-06-17,243.0,516.0,33.0,240.0
2020-06-18,259.0,542.0,33.0,250.0
2020-06-19,298.0,581.0,33.0,250.0
2020-06-20,314.0,601.0,33.0,254.0
2020-06-21,338.0,626.0,34.0,254.0
2020-06-22,356.0,650.0,34.0,260.0
2020-06-23,348.0,652.0,34.0,270.0
2020-06-24,358.0,662.0,34.0,270.0
