Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,1.0,1.0,0.0,0.0
2020-02-28,1.0,1.0,0.0,0.0
2020-02-29,3.0,3.0,0.0,0.0
2020-03-01,4.0,4.0,0.0,0.0
2020-03-02,4.0,4.0,0.0,0.0
2020-03-03,6.0,6.0,0.0,0.0
2020-03-04,11.0,11.0,0.0,0.0
2020-03-05,11.0,11.0,0.0,0.0
2020-03-06,23.0,24.0,0.0,1.0
2020-03-07,23.0,24.0,0.0,1.0
2020-03-08,36.0,37.0,0.0,1.0
2020-03-09,91.0,92.0,0.0,1.0
2020-03-10,263.0,264.0,0.0,1.0
2020-03-11,443.0,444.0,0.0,1.0
2020-03-12,616.0,617.0,0.0,1.0
2020-03-13,803.0,804.0,0.0,1.0
2020-03-14,834.0,836.0,1.0,1.0
2020-03-15,872.0,875.0,2.0,1.0
2020-03-16,929.0,933.0,3.0,1.0
2020-03-17,1020.0,1025.0,4.0,1.0
2020-03-18,1111.0,1116.0,4.0,1.0
2020-03-19,1218.0,1225.0,6.0,1.0
2020-03-20,1327.0,1337.0,9.0,1.0
2020-03-21,1406.0,1420.0,13.0,1.0
2020-03-22,1500.0,1514.0,13.0,1.0
2020-03-23,1547.0,1572.0,24.0,1.0
2020-03-24,1650.0,1718.0,32.0,36.0
2020-03-25,1787.0,1862.0,34.0,41.0
2020-03-26,1932.0,2023.0,41.0,50.0
2020-03-27,2091.0,2200.0,52.0,57.0
2020-03-28,2244.0,2366.0,65.0,57.0
2020-03-29,2419.0,2564.0,72.0,73.0
2020-03-30,2605.0,2755.0,77.0,73.0
2020-03-31,2872.0,3039.0,90.0,77.0
2020-04-01,2215.0,3290.0,104.0,971.0
2020-04-02,2278.0,3573.0,123.0,1172.0
2020-04-03,2520.0,3946.0,139.0,1287.0
2020-04-04,2729.0,4269.0,161.0,1379.0
2020-04-05,2953.0,4561.0,179.0,1429.0
2020-04-06,3199.0,4875.0,187.0,1489.0
2020-04-07,3442.0,5266.0,203.0,1621.0
2020-04-08,3616.0,5597.0,218.0,1763.0
2020-04-09,3710.0,5830.0,237.0,1883.0
2020-04-10,3838.0,6014.0,247.0,1929.0
2020-04-11,3820.0,6191.0,260.0,2111.0
2020-04-12,3805.0,6369.0,273.0,2291.0
2020-04-13,3825.0,6513.0,285.0,2403.0
2020-04-14,3718.0,6706.0,299.0,2689.0
2020-04-15,3642.0,6876.0,309.0,2925.0
2020-04-16,3550.0,7074.0,321.0,3203.0
2020-04-17,3361.0,7268.0,336.0,3571.0
2020-04-18,3060.0,7437.0,346.0,4031.0
2020-04-19,2897.0,7580.0,355.0,4328.0
2020-04-20,2848.0,7711.0,364.0,4499.0
2020-04-21,2632.0,7891.0,370.0,4889.0
2020-04-22,2448.0,8108.0,384.0,5276.0
2020-04-23,2304.0,8271.0,394.0,5573.0
2020-04-24,2290.0,8408.0,403.0,5715.0
2020-04-25,2367.0,8643.0,418.0,5858.0
2020-04-26,2357.0,8773.0,422.0,5994.0
2020-04-27,2321.0,8896.0,427.0,6148.0
2020-04-28,2302.0,9049.0,434.0,6313.0
2020-04-29,2205.0,9206.0,443.0,6558.0
2020-04-30,2163.0,9356.0,452.0,6741.0
2020-05-01,2125.0,9509.0,460.0,6924.0
2020-05-02,2046.0,9605.0,475.0,7084.0
2020-05-03,2054.0,9721.0,484.0,7183.0
2020-05-04,2091.0,9868.0,493.0,7284.0
2020-05-05,2024.0,10019.0,503.0,7492.0
2020-05-06,1941.0,10136.0,506.0,7689.0
2020-05-07,1860.0,10281.0,514.0,7907.0
2020-05-08,1769.0,10416.0,522.0,8125.0
2020-05-09,1700.0,10517.0,526.0,8291.0
2020-05-10,1683.0,10627.0,529.0,8415.0
2020-05-11,1652.0,10711.0,533.0,8526.0
2020-05-12,1484.0,10789.0,527.0,8778.0
2020-05-13,1471.0,10865.0,533.0,8861.0
2020-05-14,1371.0,10911.0,537.0,9003.0
2020-05-15,1295.0,10989.0,537.0,9157.0
2020-05-16,1208.0,11056.0,543.0,9305.0
2020-05-17,1153.0,11125.0,547.0,9425.0
2020-05-18,1119.0,11166.0,548.0,9499.0
2020-05-19,1077.0,11242.0,551.0,9614.0
2020-05-20,1027.0,11315.0,554.0,9734.0
2020-05-21,978.0,11380.0,561.0,9841.0
2020-05-22,905.0,11428.0,561.0,9962.0
2020-05-23,892.0,11487.0,561.0,10034.0
2020-05-24,899.0,11559.0,562.0,10098.0
2020-05-25,861.0,11586.0,563.0,10162.0
2020-05-26,822.0,11627.0,563.0,10242.0
2020-05-27,811.0,11680.0,565.0,10304.0
2020-05-28,766.0,11712.0,568.0,10378.0
2020-05-29,787.0,11793.0,568.0,10438.0
2020-05-30,737.0,11833.0,571.0,10525.0
2020-05-31,735.0,11869.0,574.0,10560.0
2020-06-01,713.0,11899.0,576.0,10610.0
2020-06-02,667.0,11934.0,580.0,10687.0
2020-06-03,641.0,11971.0,580.0,10750.0
2020-06-04,609.0,12011.0,582.0,10820.0
2020-06-05,636.0,12075.0,586.0,10853.0
2020-06-06,616.0,12124.0,587.0,10921.0
2020-06-07,604.0,12148.0,589.0,10955.0
2020-06-08,577.0,12162.0,593.0,10992.0
2020-06-09,559.0,12201.0,593.0,11049.0
2020-06-10,519.0,12216.0,593.0,11104.0
2020-06-11,487.0,12235.0,593.0,11155.0
2020-06-12,512.0,12299.0,594.0,11193.0
2020-06-13,507.0,12339.0,597.0,11235.0
2020-06-14,528.0,12393.0,597.0,11268.0
