Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,1.0,1.0,0.0,0.0
2020-03-01,1.0,1.0,0.0,0.0
2020-03-02,1.0,1.0,0.0,0.0
2020-03-03,1.0,1.0,0.0,0.0
2020-03-04,1.0,1.0,0.0,0.0
2020-03-05,1.0,1.0,0.0,0.0
2020-03-06,2.0,2.0,0.0,0.0
2020-03-07,2.0,2.0,0.0,0.0
2020-03-08,3.0,3.0,0.0,0.0
2020-03-09,3.0,3.0,0.0,0.0
2020-03-10,5.0,5.0,0.0,0.0
2020-03-11,7.0,7.0,0.0,0.0
2020-03-12,19.0,19.0,0.0,0.0
2020-03-13,34.0,34.0,0.0,0.0
2020-03-14,50.0,51.0,1.0,0.0
2020-03-15,58.0,59.0,1.0,0.0
2020-03-16,76.0,77.0,1.0,0.0
2020-03-17,139.0,140.0,1.0,0.0
2020-03-18,201.0,203.0,2.0,0.0
2020-03-19,331.0,335.0,4.0,0.0
2020-03-20,480.0,484.0,4.0,0.0
2020-03-21,662.0,670.0,8.0,0.0
2020-03-22,784.0,798.0,8.0,6.0
2020-03-23,861.0,875.0,8.0,6.0
2020-03-24,1085.0,1099.0,8.0,6.0
2020-03-25,1319.0,1333.0,8.0,6.0
2020-03-26,1438.0,1453.0,9.0,6.0
2020-03-27,1550.0,1605.0,15.0,40.0
2020-03-28,1773.0,1831.0,18.0,40.0
2020-03-29,1889.0,1950.0,21.0,40.0
2020-03-30,1926.0,1988.0,22.0,40.0
2020-03-31,2075.0,2178.0,23.0,80.0
2020-04-01,2210.0,2319.0,29.0,80.0
2020-04-02,2377.0,2487.0,30.0,80.0
2020-04-03,2081.0,2612.0,31.0,500.0
2020-04-04,2198.0,2729.0,31.0,500.0
2020-04-05,2268.0,2804.0,36.0,500.0
2020-04-06,2302.0,2843.0,41.0,500.0
2020-04-07,2426.0,2970.0,44.0,500.0
2020-04-08,2488.0,3034.0,46.0,500.0
2020-04-09,2563.0,3115.0,52.0,500.0
2020-04-10,2669.0,3223.0,54.0,500.0
2020-04-11,2708.0,3270.0,62.0,500.0
2020-04-12,2715.0,3281.0,66.0,500.0
2020-04-13,2723.0,3292.0,69.0,500.0
2020-04-14,2740.0,3307.0,67.0,500.0
2020-04-15,2778.0,3373.0,69.0,526.0
2020-04-16,2823.0,3444.0,69.0,552.0
2020-04-17,2829.0,3480.0,72.0,579.0
2020-04-18,2864.0,3537.0,72.0,601.0
2020-04-19,2850.0,3550.0,73.0,627.0
2020-04-20,2846.0,3558.0,75.0,637.0
2020-04-21,2870.0,3618.0,78.0,670.0
2020-04-22,2863.0,3654.0,80.0,711.0
2020-04-23,2854.0,3665.0,83.0,728.0
2020-04-24,603.0,3695.0,85.0,3007.0
2020-04-25,538.0,3711.0,85.0,3088.0
2020-04-26,531.0,3723.0,88.0,3104.0
2020-04-27,518.0,3729.0,88.0,3123.0
2020-04-28,529.0,3741.0,89.0,3123.0
2020-04-29,546.0,3769.0,89.0,3134.0
2020-04-30,481.0,3784.0,90.0,3213.0
2020-05-01,497.0,3802.0,92.0,3213.0
2020-05-02,402.0,3812.0,92.0,3318.0
2020-05-03,349.0,3824.0,96.0,3379.0
2020-05-04,327.0,3828.0,96.0,3405.0
2020-05-05,332.0,3840.0,96.0,3412.0
2020-05-06,301.0,3851.0,98.0,3452.0
2020-05-07,254.0,3859.0,100.0,3505.0
2020-05-08,245.0,3871.0,100.0,3526.0
2020-05-09,226.0,3877.0,101.0,3550.0
2020-05-10,199.0,3886.0,101.0,3586.0
2020-05-11,185.0,3888.0,101.0,3602.0
2020-05-12,182.0,3894.0,102.0,3610.0
2020-05-13,172.0,3904.0,103.0,3629.0
2020-05-14,147.0,3915.0,103.0,3665.0
2020-05-15,137.0,3923.0,104.0,3682.0
2020-05-16,127.0,3930.0,104.0,3699.0
2020-05-17,136.0,3945.0,107.0,3702.0
2020-05-18,125.0,3947.0,107.0,3715.0
2020-05-19,131.0,3958.0,109.0,3718.0
2020-05-20,134.0,3971.0,109.0,3728.0
2020-05-21,130.0,3980.0,109.0,3741.0
2020-05-22,124.0,3981.0,109.0,3748.0
2020-05-23,123.0,3990.0,109.0,3758.0
2020-05-24,117.25756227363696,3992.0,107.74243772636304,3767.0
2020-05-25,104.23057268502816,3993.0,107.76942731497184,3781.0
2020-05-26,104.17659350781054,3995.0,107.82340649218946,3783.0
2020-05-27,102.0146559761577,4001.0,107.9853440238423,3791.0
2020-05-28,96.82572885589603,4008.0,108.17427114410397,3803.0
2020-05-29,88.7177705014608,4012.0,108.2822294985392,3815.0
2020-05-30,92.60981214702556,4016.0,108.39018785297444,3815.0
2020-05-31,76.55583296980795,4018.0,108.44416703019205,3833.0
2020-06-01,65.52884338119914,4019.0,108.47115661880086,3845.0
2020-06-02,63.50185379259034,4020.0,108.49814620740966,3848.0
2020-06-03,54.3938954381551,4024.0,108.6061045618449,3861.0
2020-06-04,44.31292667232867,4027.0,108.68707332767133,3874.0
2020-06-05,38.17797872928463,4032.0,108.82202127071537,3885.0
2020-06-06,38.097009963458206,4035.0,108.9029900365418,3888.0
2020-06-07,30.98905160902298,4039.0,109.01094839097702,3899.0
2020-06-08,29.962062020414166,4040.0,109.03793797958583,3901.0
2020-06-09,34.80012448876131,4046.0,109.19987551123869,3902.0
2020-06-10,35.719155722934886,4049.0,109.28084427706511,3904.0
2020-06-11,32.63818695710846,4052.0,109.36181304289154,3910.0
