Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,1.0,1.0,0.0,0.0
2020-02-26,1.0,1.0,0.0,0.0
2020-02-27,1.0,1.0,0.0,0.0
2020-02-28,1.0,1.0,0.0,0.0
2020-02-29,1.0,1.0,0.0,0.0
2020-03-01,1.0,1.0,0.0,0.0
2020-03-02,3.0,3.0,0.0,0.0
2020-03-03,5.0,5.0,0.0,0.0
2020-03-04,12.0,12.0,0.0,0.0
2020-03-05,12.0,12.0,0.0,0.0
2020-03-06,17.0,17.0,0.0,0.0
2020-03-07,17.0,17.0,0.0,0.0
2020-03-08,19.0,19.0,0.0,0.0
2020-03-09,20.0,20.0,0.0,0.0
2020-03-10,20.0,20.0,0.0,0.0
2020-03-11,20.0,20.0,0.0,0.0
2020-03-12,15.0,24.0,1.0,8.0
2020-03-13,16.0,26.0,2.0,8.0
2020-03-14,22.0,37.0,3.0,12.0
2020-03-15,32.0,48.0,4.0,12.0
2020-03-16,38.0,54.0,4.0,12.0
2020-03-17,44.0,60.0,4.0,12.0
2020-03-18,55.0,74.0,7.0,12.0
2020-03-19,46.0,87.0,9.0,32.0
2020-03-20,47.0,90.0,11.0,32.0
2020-03-21,92.0,139.0,15.0,32.0
2020-03-22,119.0,201.0,17.0,65.0
2020-03-23,148.0,230.0,17.0,65.0
2020-03-24,221.0,264.0,19.0,24.0
2020-03-25,216.0,302.0,21.0,65.0
2020-03-26,313.0,367.0,25.0,29.0
2020-03-27,354.0,409.0,26.0,29.0
2020-03-28,394.0,454.0,29.0,31.0
2020-03-29,449.0,511.0,31.0,31.0
2020-03-30,512.0,584.0,35.0,37.0
2020-03-31,626.0,716.0,44.0,46.0
2020-04-01,728.0,847.0,58.0,61.0
2020-04-02,839.0,986.0,86.0,61.0
2020-04-03,1004.0,1171.0,105.0,62.0
2020-04-04,1031.0,1251.0,130.0,90.0
2020-04-05,1078.0,1320.0,152.0,90.0
2020-04-06,1160.0,1423.0,173.0,90.0
2020-04-07,1162.0,1468.0,193.0,113.0
2020-04-08,1130.0,1572.0,205.0,237.0
2020-04-09,1084.0,1666.0,235.0,347.0
2020-04-10,1100.0,1761.0,256.0,405.0
2020-04-11,1090.0,1825.0,275.0,460.0
2020-04-12,1030.0,1914.0,293.0,591.0
2020-04-13,1069.0,1983.0,313.0,601.0
2020-04-14,1053.0,2070.0,326.0,691.0
2020-04-15,1116.0,2160.0,336.0,708.0
2020-04-16,1137.0,2268.0,348.0,783.0
2020-04-17,1208.0,2418.0,364.0,846.0
2020-04-18,1273.0,2534.0,367.0,894.0
2020-04-19,1207.0,2629.0,375.0,1047.0
2020-04-20,1235.0,2718.0,384.0,1099.0
2020-04-21,1267.0,2811.0,392.0,1152.0
2020-04-22,1304.0,2910.0,402.0,1204.0
2020-04-23,1245.0,3007.0,407.0,1355.0
2020-04-24,1304.0,3127.0,415.0,1408.0
2020-04-25,1358.0,3256.0,419.0,1479.0
2020-04-26,1449.0,3382.0,425.0,1508.0
2020-04-27,1527.0,3517.0,432.0,1558.0
2020-04-28,1561.0,3649.0,437.0,1651.0
2020-04-29,1702.0,3848.0,444.0,1702.0
2020-04-30,1777.0,4006.0,450.0,1779.0
2020-05-01,1880.0,4154.0,453.0,1821.0
2020-05-02,1964.0,4295.0,459.0,1872.0
2020-05-03,2075.0,4474.0,463.0,1936.0
2020-05-04,2185.0,4648.0,465.0,1998.0
2020-05-05,2301.0,4838.0,470.0,2067.0
2020-05-06,2324.0,4997.0,476.0,2197.0
2020-05-07,2376.0,5182.0,483.0,2323.0
2020-05-08,2414.0,5369.0,488.0,2467.0
2020-05-09,2518.0,5558.0,494.0,2546.0
2020-05-10,2543.0,5723.0,502.0,2678.0
2020-05-11,2543.0,5891.0,507.0,2841.0
2020-05-12,2554.0,6067.0,515.0,2998.0
2020-05-13,2673.0,6253.0,522.0,3058.0
2020-05-14,2755.0,6442.0,529.0,3158.0
2020-05-15,2822.0,6629.0,536.0,3271.0
2020-05-16,2870.0,6821.0,542.0,3409.0
2020-05-17,2964.0,7019.0,548.0,3507.0
2020-05-18,3021.0,7201.0,555.0,3625.0
2020-05-19,3070.0,7377.0,561.0,3746.0
2020-05-20,3006.0,7542.0,568.0,3968.0
2020-05-21,3091.0,7728.0,575.0,4062.0
2020-05-22,3080.0,7918.0,582.0,4256.0
2020-05-23,3095.0,8113.0,592.0,4426.0
2020-05-24,2922.0,8306.0,600.0,4784.0
2020-05-25,3147.0,8503.0,609.0,4747.0
2020-05-26,3162.0,8697.0,617.0,4918.0
2020-05-27,3105.0,8857.0,623.0,5129.0
2020-05-28,3090.0,8997.0,630.0,5277.0
2020-05-29,3074.0,9134.0,638.0,5422.0
2020-05-30,3072.0,9267.0,646.0,5549.0
2020-05-31,2993.0,9394.0,653.0,5748.0
2020-06-01,2958.0,9513.0,661.0,5894.0
2020-06-02,2892.0,9626.0,667.0,6067.0
2020-06-03,2842.0,9733.0,673.0,6218.0
2020-06-04,2853.0,9831.0,681.0,6297.0
2020-06-05,2792.0,9935.0,690.0,6453.0
2020-06-06,2721.0,10050.0,698.0,6631.0
2020-06-07,2730.0,10154.0,707.0,6717.0
2020-06-08,2751.0,10265.0,715.0,6799.0
2020-06-09,2707.0,10382.0,724.0,6951.0
2020-06-10,2678.0,10484.0,732.0,7074.0
2020-06-11,2593.0,10589.0,741.0,7255.0
2020-06-12,2625.0,10698.0,751.0,7322.0
2020-06-13,2630.0,10810.0,760.0,7420.0
2020-06-14,2546.0,10919.0,767.0,7606.0
2020-06-15,2519.0,11031.0,777.0,7735.0
