Time,Active,Confirmed,Deaths,Recovered
2020-01-22,1.0,1.0,0.0,0.0
2020-01-23,1.0,1.0,0.0,0.0
2020-01-24,3.0,3.0,0.0,0.0
2020-01-25,3.0,3.0,0.0,0.0
2020-01-26,4.0,4.0,0.0,0.0
2020-01-27,5.0,5.0,0.0,0.0
2020-01-28,8.0,8.0,0.0,0.0
2020-01-29,8.0,8.0,0.0,0.0
2020-01-30,9.0,9.0,0.0,0.0
2020-01-31,10.0,10.0,0.0,0.0
2020-02-01,10.0,10.0,0.0,0.0
2020-02-02,10.0,10.0,0.0,0.0
2020-02-03,10.0,10.0,0.0,0.0
2020-02-04,11.0,11.0,0.0,0.0
2020-02-05,11.0,11.0,0.0,0.0
2020-02-06,15.0,16.0,0.0,1.0
2020-02-07,15.0,16.0,0.0,1.0
2020-02-08,16.0,17.0,0.0,1.0
2020-02-09,17.0,18.0,0.0,1.0
2020-02-10,17.0,18.0,0.0,1.0
2020-02-11,17.0,18.0,0.0,1.0
2020-02-12,17.0,18.0,0.0,1.0
2020-02-13,17.0,18.0,0.0,1.0
2020-02-14,16.0,18.0,0.0,2.0
2020-02-15,16.0,18.0,0.0,2.0
2020-02-16,17.0,20.0,1.0,2.0
2020-02-17,19.0,22.0,1.0,2.0
2020-02-18,19.0,22.0,1.0,2.0
2020-02-19,20.0,23.0,1.0,2.0
2020-02-20,21.0,24.0,1.0,2.0
2020-02-21,23.0,26.0,1.0,2.0
2020-02-22,23.0,26.0,1.0,2.0
2020-02-23,25.0,28.0,1.0,2.0
2020-02-24,24.0,30.0,1.0,5.0
2020-02-25,25.0,31.0,1.0,5.0
2020-02-26,26.0,32.0,1.0,5.0
2020-02-27,26.0,32.0,1.0,5.0
2020-02-28,27.0,34.0,1.0,6.0
2020-02-29,29.0,39.0,1.0,9.0
2020-03-01,30.0,40.0,1.0,9.0
2020-03-02,28.0,41.0,1.0,12.0
2020-03-03,29.0,42.0,1.0,12.0
2020-03-04,29.0,42.0,1.0,12.0
2020-03-05,31.0,44.0,1.0,12.0
2020-03-06,32.0,45.0,1.0,12.0
2020-03-07,32.0,45.0,1.0,12.0
