Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,1.0,1.0,0.0,0.0
2020-02-26,3.0,3.0,0.0,0.0
2020-02-27,3.0,3.0,0.0,0.0
2020-02-28,5.0,5.0,0.0,0.0
2020-02-29,6.0,6.0,0.0,0.0
2020-03-01,7.0,7.0,0.0,0.0
2020-03-02,7.0,7.0,0.0,0.0
2020-03-03,9.0,9.0,0.0,0.0
2020-03-04,10.0,10.0,0.0,0.0
2020-03-05,10.0,10.0,0.0,0.0
2020-03-06,11.0,11.0,0.0,0.0
2020-03-07,12.0,12.0,0.0,0.0
2020-03-08,12.0,12.0,0.0,0.0
2020-03-09,12.0,12.0,0.0,0.0
2020-03-10,14.0,14.0,0.0,0.0
2020-03-11,19.0,19.0,0.0,0.0
2020-03-12,19.0,19.0,0.0,0.0
2020-03-13,31.0,32.0,0.0,1.0
2020-03-14,37.0,38.0,0.0,1.0
2020-03-15,48.0,49.0,0.0,1.0
2020-03-16,55.0,57.0,0.0,2.0
2020-03-17,61.0,65.0,0.0,4.0
2020-03-18,77.0,81.0,0.0,4.0
2020-03-19,99.0,105.0,1.0,5.0
2020-03-20,122.0,128.0,1.0,5.0
2020-03-21,200.0,206.0,1.0,5.0
2020-03-22,248.0,254.0,1.0,5.0
2020-03-23,309.0,315.0,1.0,5.0
2020-03-24,376.0,382.0,1.0,5.0
2020-03-25,419.0,442.0,1.0,22.0
2020-03-26,470.0,495.0,3.0,22.0
2020-03-27,546.0,586.0,3.0,37.0
2020-03-28,607.0,657.0,5.0,45.0
2020-03-29,655.0,713.0,6.0,52.0
2020-03-30,717.0,790.0,6.0,67.0
2020-03-31,794.0,867.0,6.0,67.0
2020-04-01,884.0,963.0,6.0,73.0
2020-04-02,916.0,1011.0,7.0,88.0
2020-04-03,979.0,1079.0,8.0,92.0
2020-04-04,995.0,1126.0,12.0,119.0
2020-04-05,1042.0,1182.0,15.0,125.0
2020-04-06,1076.0,1222.0,16.0,130.0
2020-04-07,1097.0,1282.0,18.0,167.0
2020-04-08,1145.0,1343.0,19.0,179.0
2020-04-09,1168.0,1407.0,20.0,219.0
2020-04-10,1243.0,1495.0,21.0,231.0
2020-04-11,1190.0,1534.0,21.0,323.0
2020-04-12,1204.0,1600.0,23.0,373.0
2020-04-13,1225.0,1650.0,25.0,400.0
2020-04-14,1258.0,1704.0,31.0,415.0
2020-04-15,1235.0,1741.0,33.0,473.0
2020-04-16,1227.0,1791.0,35.0,529.0
2020-04-17,1178.0,1814.0,36.0,600.0
2020-04-18,1178.0,1832.0,39.0,615.0
2020-04-19,1115.0,1871.0,47.0,709.0
2020-04-20,1063.0,1881.0,47.0,771.0
2020-04-21,1059.0,1908.0,48.0,801.0
2020-04-22,1033.0,1950.0,48.0,869.0
2020-04-23,1048.0,1981.0,50.0,883.0
2020-04-24,976.0,2009.0,51.0,982.0
2020-04-25,928.0,2016.0,54.0,1034.0
2020-04-26,872.0,2030.0,55.0,1103.0
2020-04-27,814.0,2039.0,59.0,1166.0
2020-04-28,752.0,2047.0,63.0,1232.0
2020-04-29,707.0,2062.0,67.0,1288.0
2020-04-30,659.0,2076.0,69.0,1348.0
2020-05-01,589.0,2085.0,75.0,1421.0
2020-05-02,548.0,2088.0,77.0,1463.0
2020-05-03,528.0,2096.0,79.0,1489.0
2020-05-04,499.0,2101.0,80.0,1522.0
2020-05-05,469.0,2112.0,83.0,1560.0
2020-05-06,433.0,2119.0,85.0,1601.0
2020-05-07,398.0,2125.0,86.0,1641.0
2020-05-08,386.0,2161.0,86.0,1689.0
2020-05-09,363.0,2176.0,87.0,1726.0
2020-05-10,333.0,2187.0,90.0,1764.0
2020-05-11,321.0,2196.0,91.0,1784.0
2020-05-12,308.0,2207.0,91.0,1808.0
2020-05-13,285.0,2213.0,94.0,1834.0
2020-05-14,277.0,2221.0,94.0,1850.0
2020-05-15,258.0,2222.0,95.0,1869.0
2020-05-16,216.0,2224.0,95.0,1913.0
2020-05-17,195.0,2226.0,95.0,1936.0
2020-05-18,187.0,2228.0,95.0,1946.0
2020-05-19,169.0,2232.0,96.0,1967.0
2020-05-20,160.0,2234.0,96.0,1978.0
2020-05-21,162.0,2237.0,97.0,1978.0
2020-05-22,133.0,2243.0,99.0,2011.0
2020-05-23,121.0,2243.0,99.0,2023.0
2020-05-24,118.0,2244.0,99.0,2027.0
2020-05-25,109.0,2244.0,100.0,2035.0
2020-05-26,97.0,2244.0,101.0,2046.0
2020-05-27,96.0,2244.0,101.0,2047.0
2020-05-28,92.0,2245.0,102.0,2051.0
2020-05-29,83.0,2245.0,103.0,2059.0
2020-05-30,80.0,2246.0,103.0,2063.0
2020-05-31,71.0,2246.0,103.0,2072.0
2020-06-01,66.0,2246.0,103.0,2077.0
2020-06-02,55.0,2246.0,103.0,2088.0
2020-06-03,48.0,2246.0,103.0,2095.0
2020-06-04,39.0,2247.0,103.0,2105.0
2020-06-05,31.0,2247.0,103.0,2113.0
2020-06-06,22.0,2247.0,104.0,2121.0
2020-06-07,17.0,2247.0,104.0,2126.0
2020-06-08,15.0,2247.0,104.0,2128.0
2020-06-09,11.0,2247.0,106.0,2130.0
2020-06-10,13.0,2249.0,106.0,2130.0
2020-06-11,11.0,2249.0,106.0,2132.0
2020-06-12,12.173004267158646,2249.0,103.82699573284135,2133.0
2020-06-13,13.080672567974261,2251.0,103.91932743202574,2134.0
2020-06-14,14.034506718382076,2252.0,103.96549328161792,2134.0
2020-06-15,9.942175019197691,2254.0,104.05782498080231,2140.0
2020-06-16,10.896009169605492,2255.0,104.10399083039451,2140.0
