Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,1.0,1.0,0.0,0.0
2020-03-07,1.0,1.0,0.0,0.0
2020-03-08,2.0,2.0,0.0,0.0
2020-03-09,2.0,2.0,0.0,0.0
2020-03-10,2.0,2.0,0.0,0.0
2020-03-11,2.0,2.0,0.0,0.0
2020-03-12,2.0,2.0,0.0,0.0
2020-03-13,2.0,2.0,0.0,0.0
2020-03-14,2.0,2.0,0.0,0.0
2020-03-15,2.0,2.0,0.0,0.0
2020-03-16,4.0,4.0,0.0,0.0
2020-03-17,10.0,10.0,0.0,0.0
2020-03-18,10.0,10.0,0.0,0.0
2020-03-19,13.0,13.0,0.0,0.0
2020-03-20,20.0,20.0,0.0,0.0
2020-03-21,27.0,27.0,0.0,0.0
2020-03-22,40.0,40.0,0.0,0.0
2020-03-23,56.0,56.0,0.0,0.0
2020-03-24,66.0,66.0,0.0,0.0
2020-03-25,72.0,75.0,1.0,2.0
2020-03-26,72.0,75.0,1.0,2.0
2020-03-27,87.0,91.0,2.0,2.0
2020-03-28,87.0,91.0,2.0,2.0
2020-03-29,128.0,139.0,6.0,5.0
2020-03-30,128.0,139.0,6.0,5.0
2020-03-31,182.0,193.0,6.0,5.0
2020-04-01,217.0,233.0,6.0,10.0
2020-04-02,289.0,306.0,7.0,10.0
2020-04-03,484.0,509.0,8.0,17.0
2020-04-04,529.0,555.0,9.0,17.0
2020-04-05,624.0,650.0,9.0,17.0
2020-04-06,632.0,658.0,9.0,17.0
2020-04-07,606.0,658.0,9.0,43.0
2020-04-08,660.0,730.0,10.0,60.0
2020-04-09,660.0,730.0,10.0,60.0
2020-04-10,710.0,820.0,12.0,98.0
2020-04-11,710.0,820.0,12.0,98.0
2020-04-12,710.0,820.0,12.0,98.0
2020-04-13,710.0,820.0,12.0,98.0
2020-04-14,704.0,848.0,14.0,130.0
2020-04-15,666.0,848.0,17.0,165.0
2020-04-16,810.0,996.0,22.0,164.0
2020-04-17,810.0,996.0,22.0,164.0
2020-04-18,818.0,1017.0,22.0,177.0
2020-04-19,670.0,1017.0,42.0,305.0
2020-04-20,816.0,1163.0,42.0,305.0
2020-04-21,791.0,1163.0,43.0,329.0
2020-04-22,723.0,1163.0,43.0,397.0
2020-04-23,623.0,1334.0,43.0,668.0
2020-04-24,719.0,1430.0,43.0,668.0
2020-04-25,768.0,1518.0,53.0,697.0
2020-04-26,779.0,1621.0,56.0,786.0
2020-04-27,842.0,1705.0,58.0,805.0
2020-04-28,732.0,1705.0,58.0,915.0
2020-04-29,837.0,1832.0,61.0,934.0
2020-04-30,837.0,1832.0,61.0,934.0
2020-05-01,837.0,1832.0,61.0,934.0
2020-05-02,1060.0,2077.0,64.0,953.0
2020-05-03,1060.0,2077.0,64.0,953.0
2020-05-04,1087.0,2104.0,64.0,953.0
2020-05-05,1087.0,2104.0,64.0,953.0
2020-05-06,1157.0,2265.0,108.0,1000.0
2020-05-07,1157.0,2267.0,108.0,1002.0
2020-05-08,1157.0,2267.0,108.0,1002.0
2020-05-09,934.0,2274.0,108.0,1232.0
2020-05-10,1000.0,2579.0,114.0,1465.0
2020-05-11,1040.0,2689.0,125.0,1524.0
2020-05-12,1040.0,2689.0,125.0,1524.0
2020-05-13,1121.0,2800.0,136.0,1543.0
2020-05-14,1262.0,2954.0,139.0,1553.0
2020-05-15,1398.0,3105.0,140.0,1567.0
2020-05-16,1398.0,3105.0,140.0,1567.0
2020-05-17,1398.0,3105.0,140.0,1567.0
2020-05-18,1822.0,3529.0,140.0,1567.0
2020-05-19,1822.0,3529.0,140.0,1567.0
2020-05-20,1992.0,3733.0,146.0,1595.0
2020-05-21,2324.0,4288.0,156.0,1808.0
2020-05-22,2419.0,4400.0,159.0,1822.0
2020-05-23,2419.0,4400.0,159.0,1822.0
2020-05-24,2860.0,4890.0,165.0,1865.0
2020-05-25,2860.0,4890.0,165.0,1865.0
2020-05-26,3265.0,5436.0,175.0,1996.0
2020-05-27,3265.0,5436.0,175.0,1996.0
2020-05-28,3265.0,5436.0,175.0,1996.0
2020-05-29,1933.0,5436.0,177.0,3326.0
2020-05-30,2145.0,5904.0,191.0,3568.0
2020-05-31,2145.0,5904.0,191.0,3568.0
2020-06-01,2569.0,6397.0,199.0,3629.0
2020-06-02,2709.0,6585.0,200.0,3676.0
2020-06-03,2709.0,6585.0,200.0,3676.0
2020-06-04,2881.0,6789.0,203.0,3705.0
2020-06-05,2612.0,7392.0,205.0,4575.0
2020-06-06,2800.0,7599.0,212.0,4587.0
2020-06-07,2961.0,7908.0,212.0,4735.0
2020-06-08,3100.0,8060.0,212.0,4748.0
2020-06-09,3306.0,8312.0,212.0,4794.0
2020-06-10,3633.0,8681.0,212.0,4836.0
2020-06-11,3633.0,8681.0,212.0,4836.0
2020-06-12,3633.0,8681.0,212.0,4836.0
2020-06-13,3633.0,8681.0,212.0,4836.0
2020-06-14,3633.0,8681.0,212.0,4836.0
2020-06-15,4018.0,9864.0,276.0,5570.0
2020-06-16,4018.0,9864.0,276.0,5570.0
2020-06-17,4018.0,9864.0,276.0,5570.0
2020-06-18,4018.0,9864.0,276.0,5570.0
