Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,2.0,2.0,0.0,0.0
2020-03-15,10.0,10.0,0.0,0.0
2020-03-16,17.0,17.0,0.0,0.0
2020-03-17,33.0,33.0,0.0,0.0
2020-03-18,36.0,36.0,0.0,0.0
2020-03-19,42.0,42.0,0.0,0.0
2020-03-20,42.0,42.0,0.0,0.0
2020-03-21,70.0,70.0,0.0,0.0
2020-03-22,55.0,70.0,0.0,15.0
2020-03-23,62.0,77.0,0.0,15.0
2020-03-24,69.0,84.0,0.0,15.0
2020-03-25,76.0,91.0,0.0,15.0
2020-03-26,92.0,107.0,0.0,15.0
2020-03-27,75.0,107.0,1.0,31.0
2020-03-28,78.0,119.0,2.0,39.0
2020-03-29,78.0,119.0,2.0,39.0
2020-03-30,93.0,135.0,3.0,39.0
2020-03-31,93.0,135.0,3.0,39.0
2020-04-01,99.0,143.0,3.0,41.0
2020-04-02,98.0,146.0,5.0,43.0
2020-04-03,94.0,153.0,7.0,52.0
2020-04-04,96.0,155.0,7.0,52.0
2020-04-05,100.0,159.0,7.0,52.0
2020-04-06,93.0,165.0,7.0,65.0
2020-04-07,93.0,165.0,7.0,65.0
2020-04-08,93.0,167.0,9.0,65.0
2020-04-09,78.0,171.0,9.0,84.0
2020-04-10,78.0,171.0,9.0,84.0
2020-04-11,73.0,175.0,9.0,93.0
2020-04-12,79.0,181.0,9.0,93.0
2020-04-13,70.0,189.0,9.0,110.0
2020-04-14,70.0,189.0,9.0,110.0
2020-04-15,77.0,197.0,9.0,111.0
2020-04-16,84.0,204.0,9.0,111.0
2020-04-17,84.0,204.0,9.0,111.0
2020-04-18,105.0,227.0,9.0,113.0
2020-04-19,130.0,256.0,9.0,117.0
2020-04-20,130.0,256.0,9.0,117.0
2020-04-21,158.0,285.0,10.0,117.0
2020-04-22,156.0,288.0,10.0,122.0
2020-04-23,175.0,311.0,10.0,126.0
2020-04-24,176.0,318.0,10.0,132.0
2020-04-25,181.0,323.0,10.0,132.0
2020-04-26,178.0,325.0,10.0,137.0
2020-04-27,177.0,329.0,10.0,142.0
2020-04-28,177.0,329.0,10.0,142.0
2020-04-29,179.0,331.0,10.0,142.0
2020-04-30,175.0,333.0,16.0,142.0
2020-05-01,173.71414612157284,335.0,13.285853878427151,148.0
2020-05-02,183.31755346848547,345.0,13.682446531514529,148.0
2020-05-03,184.84164228478062,357.0,14.158357715219383,158.0
2020-05-04,184.84164228478062,357.0,14.158357715219383,158.0
2020-05-05,188.68300522354568,361.0,14.316994776454333,158.0
2020-05-06,187.9691384479884,379.0,15.030861552011613,176.0
2020-05-07,180.88981991737091,381.0,15.110180082629089,185.0
2020-05-08,182.61220506020976,388.0,15.387794939790252,190.0
2020-05-09,196.05697534588742,402.0,15.943024654112582,190.0
2020-05-10,204.58106416218257,414.0,16.418935837817436,193.0
2020-05-11,200.26379003971266,422.0,16.736209960287336,205.0
2020-05-12,186.22413077440393,423.0,16.775869225596075,220.0
2020-05-13,186.22413077440393,423.0,16.775869225596075,220.0
2020-05-14,216.95503428452432,455.0,18.044965715475684,220.0
2020-05-15,211.79639722328938,459.0,18.203602776710635,229.0
2020-05-16,243.01173028439615,504.0,19.988269715603835,241.0
2020-05-17,278.54433746797287,541.0,21.45566253202713,241.0
2020-05-18,340.49057403920006,618.0,24.509425960799938,253.0
2020-05-19,466.2952102837554,749.0,29.704789716244587,253.0
2020-05-20,529.3207653856001,824.0,32.67923461439992,262.0
2020-05-21,585.0205279976933,882.0,34.97947200230671,262.0
2020-05-22,644.5616535485516,944.0,37.43834645144845,262.0
2020-05-23,707.9441420381748,1010.0,40.05585796182514,262.0
2020-05-24,814.541963588905,1121.0,44.45803641109504,262.0
2020-05-25,828.3210447316156,1177.0,46.67895526838435,302.0
2020-05-26,860.9726297111185,1211.0,48.027370288881436,302.0
2020-05-27,893.6242146906214,1245.0,49.37578530937852,302.0
2020-05-28,970.4514734659225,1325.0,52.54852653407754,302.0
2020-05-29,1013.6668065270293,1370.0,54.33319347297074,302.0
2020-05-30,1099.1371319145517,1459.0,57.8628680854484,302.0
2020-05-31,1148.114509383806,1510.0,59.885490616194026,302.0
2020-06-01,1294.0863010568778,1662.0,65.91369894312217,302.0
2020-06-02,1412.859796403406,1819.0,72.14020359659399,334.0
2020-06-03,1540.585114117344,1952.0,77.41488588265612,334.0
2020-06-04,1670.2311133006642,2087.0,82.76888669933571,334.0
2020-06-05,1725.9308759127575,2145.0,85.0691240872425,334.0
2020-06-06,1839.1491415449634,2316.0,91.85085845503666,385.0
2020-06-07,1795.7299263611303,2377.0,94.27007363886968,487.0
2020-06-08,1887.9226368914915,2473.0,98.0773631085085,487.0
2020-06-09,2040.6168137074021,2632.0,104.3831862925978,487.0
