Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,0.0
2020-03-19,1.0,1.0,0.0,0.0
2020-03-20,1.0,1.0,0.0,0.0
2020-03-21,3.0,3.0,0.0,0.0
2020-03-22,3.0,3.0,0.0,0.0
2020-03-23,3.0,3.0,0.0,0.0
2020-03-24,5.0,5.0,0.0,0.0
2020-03-25,9.0,9.0,0.0,0.0
2020-03-26,13.0,13.0,0.0,0.0
2020-03-27,13.0,13.0,0.0,0.0
2020-03-28,19.0,19.0,0.0,0.0
2020-03-29,24.0,24.0,0.0,0.0
2020-03-30,30.0,30.0,0.0,0.0
2020-03-31,31.0,32.0,1.0,0.0
2020-04-01,31.0,32.0,1.0,0.0
2020-04-02,39.0,41.0,2.0,0.0
2020-04-03,44.0,46.0,2.0,0.0
2020-04-04,51.0,56.0,3.0,2.0
2020-04-05,57.0,62.0,3.0,2.0
2020-04-06,60.0,69.0,4.0,5.0
2020-04-07,69.0,78.0,4.0,5.0
2020-04-08,79.0,93.0,5.0,9.0
2020-04-09,83.0,103.0,6.0,14.0
2020-04-10,96.0,117.0,6.0,15.0
2020-04-11,93.0,118.0,6.0,19.0
2020-04-12,98.0,125.0,6.0,21.0
2020-04-13,109.0,137.0,6.0,22.0
2020-04-14,118.0,149.0,6.0,25.0
2020-04-15,123.0,159.0,6.0,30.0
2020-04-16,125.0,164.0,6.0,33.0
2020-04-17,132.0,177.0,7.0,38.0
2020-04-18,140.0,190.0,7.0,43.0
2020-04-19,150.0,201.0,7.0,44.0
2020-04-20,165.0,218.0,7.0,46.0
2020-04-21,170.0,225.0,7.0,48.0
2020-04-22,167.0,237.0,7.0,63.0
2020-04-23,175.0,250.0,8.0,67.0
2020-04-24,191.0,274.0,8.0,75.0
2020-04-25,191.0,274.0,8.0,75.0
2020-04-26,207.0,298.0,8.0,83.0
2020-04-27,226.0,323.0,8.0,89.0
2020-04-28,240.0,345.0,8.0,97.0
2020-04-29,262.0,377.0,9.0,106.0
2020-04-30,266.0,395.0,10.0,119.0
2020-05-01,290.0,424.0,10.0,124.0
2020-05-02,294.0,446.0,11.0,141.0
2020-05-03,325.0,490.0,11.0,154.0
2020-05-04,362.0,555.0,13.0,180.0
2020-05-05,368.0,587.0,14.0,205.0
2020-05-06,399.0,633.0,15.0,219.0
2020-05-07,428.0,695.0,15.0,252.0
2020-05-08,469.0,742.0,16.0,257.0
2020-05-09,491.0,784.0,17.0,276.0
2020-05-10,579.0,889.0,17.0,293.0
2020-05-11,615.0,958.0,18.0,325.0
2020-05-12,629.0,998.0,20.0,349.0
2020-05-13,643.0,1037.0,20.0,374.0
2020-05-14,684.0,1112.0,23.0,405.0
2020-05-15,768.0,1210.0,25.0,417.0
2020-05-16,798.0,1265.0,26.0,441.0
2020-05-17,844.0,1338.0,30.0,464.0
2020-05-18,909.0,1413.0,30.0,474.0
2020-05-19,966.0,1498.0,30.0,502.0
2020-05-20,1003.0,1571.0,31.0,537.0
2020-05-21,1063.0,1640.0,33.0,544.0
2020-05-22,1122.0,1725.0,33.0,570.0
2020-05-23,1216.0,1819.0,33.0,570.0
2020-05-24,1247.0,1915.0,35.0,633.0
2020-05-25,1176.0,1983.0,35.0,772.0
2020-05-26,1219.0,2042.0,36.0,787.0
2020-05-27,1179.0,2109.0,39.0,891.0
2020-05-28,1153.0,2194.0,39.0,1002.0
2020-05-29,1221.0,2278.0,42.0,1015.0
2020-05-30,1318.0,2395.0,46.0,1031.0
2020-05-31,1431.0,2517.0,46.0,1040.0
2020-06-01,1473.0,2582.0,46.0,1063.0
2020-06-02,1444.0,2653.0,49.0,1160.0
2020-06-03,1468.0,2705.0,51.0,1186.0
2020-06-04,1515.0,2781.0,52.0,1214.0
2020-06-05,1547.0,2849.0,53.0,1249.0
2020-06-06,1600.0,2934.0,53.0,1281.0
2020-06-07,1657.0,3015.0,53.0,1305.0
2020-06-08,1669.0,3104.0,56.0,1379.0
2020-06-09,1712.0,3191.0,60.0,1419.0
2020-06-10,1772.0,3274.0,64.0,1438.0
2020-06-11,1801.0,3373.0,68.0,1504.0
2020-06-12,1826.0,3481.0,68.0,1587.0
2020-06-13,1793.0,3603.0,72.0,1738.0
2020-06-14,1800.0,3720.0,74.0,1846.0
2020-06-15,1826.0,3826.0,74.0,1926.0
2020-06-16,1824.0,3941.0,76.0,2041.0
2020-06-17,1850.0,4066.0,79.0,2137.0
2020-06-18,1883.0,4200.0,82.0,2235.0
2020-06-19,1933.0,4329.0,86.0,2310.0
2020-06-20,1933.0,4475.0,93.0,2449.0
