Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,0.0,0.0,0.0,0.0
2020-03-10,0.0,0.0,0.0,0.0
2020-03-11,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,0.0
2020-03-16,1.0,1.0,0.0,0.0
2020-03-17,1.0,1.0,0.0,0.0
2020-03-18,1.0,1.0,0.0,0.0
2020-03-19,3.0,3.0,0.0,0.0
2020-03-20,3.0,3.0,0.0,0.0
2020-03-21,4.0,4.0,0.0,0.0
2020-03-22,4.0,4.0,0.0,0.0
2020-03-23,4.0,4.0,0.0,0.0
2020-03-24,4.0,5.0,0.0,1.0
2020-03-25,4.0,5.0,0.0,1.0
2020-03-26,8.0,9.0,0.0,1.0
2020-03-27,9.0,10.0,0.0,1.0
2020-03-28,9.0,10.0,0.0,1.0
2020-03-29,10.0,11.0,0.0,1.0
2020-03-30,13.0,14.0,0.0,1.0
2020-03-31,13.0,14.0,0.0,1.0
2020-04-01,19.0,21.0,1.0,1.0
2020-04-02,22.0,24.0,1.0,1.0
2020-04-03,22.0,24.0,1.0,1.0
2020-04-04,24.0,28.0,4.0,0.0
2020-04-05,24.0,28.0,4.0,0.0
2020-04-06,20.0,29.0,5.0,4.0
2020-04-07,22.0,33.0,6.0,5.0
2020-04-08,28.0,40.0,7.0,5.0
2020-04-09,28.0,41.0,8.0,5.0
2020-04-10,29.0,42.0,8.0,5.0
2020-04-11,33.0,46.0,8.0,5.0
2020-04-12,33.0,46.0,8.0,5.0
2020-04-13,33.0,47.0,8.0,6.0
2020-04-14,35.0,49.0,8.0,6.0
2020-04-15,35.0,49.0,8.0,6.0
2020-04-16,39.0,53.0,8.0,6.0
2020-04-17,39.0,54.0,9.0,6.0
2020-04-18,36.0,55.0,9.0,10.0
2020-04-19,36.0,55.0,9.0,10.0
2020-04-20,40.0,60.0,9.0,11.0
2020-04-21,44.0,65.0,9.0,12.0
2020-04-22,44.0,65.0,9.0,12.0
2020-04-23,46.14480857580398,72.0,11.85519142419602,14.0
2020-04-24,45.980153139356815,73.0,12.019846860643186,15.0
2020-04-25,50.15687595712098,78.0,12.84312404287902,15.0
2020-04-26,44.82756508422665,80.0,13.172434915773355,22.0
2020-04-27,44.82756508422665,80.0,13.172434915773355,22.0
2020-04-28,43.82756508422665,80.0,13.172434915773355,23.0
2020-04-29,43.82756508422665,80.0,13.172434915773355,23.0
2020-04-30,42.66290964777948,81.0,13.337090352220523,25.0
2020-05-01,43.66290964777948,81.0,13.337090352220523,24.0
2020-05-02,45.33359877488515,83.0,13.666401225114855,24.0
2020-05-03,45.33359877488515,83.0,13.666401225114855,24.0
2020-05-04,44.33359877488515,83.0,13.666401225114855,25.0
2020-05-05,48.34566615620214,89.0,14.654333843797858,26.0
2020-05-06,50.85169984686064,92.0,15.148300153139358,26.0
2020-05-07,50.85169984686064,92.0,15.148300153139358,26.0
2020-05-08,45.85169984686064,92.0,15.148300153139358,31.0
2020-05-09,39.85169984686064,92.0,15.148300153139358,37.0
2020-05-10,39.85169984686064,92.0,15.148300153139358,37.0
2020-05-11,38.68704441041348,93.0,15.312955589586526,39.0
2020-05-12,38.68704441041348,93.0,15.312955589586526,39.0
2020-05-13,37.52238897396631,94.0,15.477611026033692,41.0
2020-05-14,39.193078101071976,96.0,15.806921898928026,41.0
2020-05-15,39.193078101071976,96.0,15.806921898928026,41.0
2020-05-16,38.193078101071976,96.0,15.806921898928026,42.0
2020-05-17,38.193078101071976,96.0,15.806921898928026,42.0
2020-05-18,37.193078101071976,96.0,15.806921898928026,43.0
2020-05-19,37.193078101071976,96.0,15.806921898928026,43.0
2020-05-20,38.028422664624806,97.0,15.971577335375192,43.0
2020-05-21,37.028422664624806,97.0,15.971577335375192,44.0
2020-05-22,37.028422664624806,97.0,15.971577335375192,44.0
2020-05-23,38.53445635528331,100.0,16.465543644716693,45.0
2020-05-24,38.53445635528331,100.0,16.465543644716693,45.0
2020-05-25,37.53445635528331,100.0,16.465543644716693,46.0
2020-05-26,37.53445635528331,100.0,16.465543644716693,46.0
2020-05-27,37.53445635528331,100.0,16.465543644716693,46.0
2020-05-28,37.369800918836134,101.0,16.630199081163862,47.0
2020-05-29,37.20514548238897,102.0,16.79485451761103,48.0
2020-05-30,37.20514548238897,102.0,16.79485451761103,48.0
2020-05-31,37.20514548238897,102.0,16.79485451761103,48.0
2020-06-01,36.20514548238897,102.0,16.79485451761103,49.0
2020-06-02,36.20514548238897,102.0,16.79485451761103,49.0
2020-06-03,30.20514548238897,102.0,16.79485451761103,55.0
2020-06-04,30.20514548238897,102.0,16.79485451761103,55.0
2020-06-05,30.20514548238897,102.0,16.79485451761103,55.0
2020-06-06,24.040490045941805,103.0,16.959509954058195,62.0
2020-06-07,24.040490045941805,103.0,16.959509954058195,62.0
2020-06-08,22.040490045941805,103.0,16.959509954058195,64.0
