Time,Active,Confirmed,Deaths,Recovered
2020-01-22,0.0,0.0,0.0,0.0
2020-01-23,0.0,0.0,0.0,0.0
2020-01-24,0.0,0.0,0.0,0.0
2020-01-25,0.0,0.0,0.0,0.0
2020-01-26,0.0,0.0,0.0,0.0
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.0,0.0,0.0
2020-01-29,0.0,0.0,0.0,0.0
2020-01-30,0.0,0.0,0.0,0.0
2020-01-31,0.0,0.0,0.0,0.0
2020-02-01,0.0,0.0,0.0,0.0
2020-02-02,0.0,0.0,0.0,0.0
2020-02-03,0.0,0.0,0.0,0.0
2020-02-04,0.0,0.0,0.0,0.0
2020-02-05,0.0,0.0,0.0,0.0
2020-02-06,0.0,0.0,0.0,0.0
2020-02-07,0.0,0.0,0.0,0.0
2020-02-08,0.0,0.0,0.0,0.0
2020-02-09,0.0,0.0,0.0,0.0
2020-02-10,0.0,0.0,0.0,0.0
2020-02-11,0.0,0.0,0.0,0.0
2020-02-12,0.0,0.0,0.0,0.0
2020-02-13,0.0,0.0,0.0,0.0
2020-02-14,0.0,0.0,0.0,0.0
2020-02-15,0.0,0.0,0.0,0.0
2020-02-16,0.0,0.0,0.0,0.0
2020-02-17,0.0,0.0,0.0,0.0
2020-02-18,0.0,0.0,0.0,0.0
2020-02-19,0.0,0.0,0.0,0.0
2020-02-20,0.0,0.0,0.0,0.0
2020-02-21,0.0,0.0,0.0,0.0
2020-02-22,0.0,0.0,0.0,0.0
2020-02-23,0.0,0.0,0.0,0.0
2020-02-24,0.0,0.0,0.0,0.0
2020-02-25,0.0,0.0,0.0,0.0
2020-02-26,0.0,0.0,0.0,0.0
2020-02-27,0.0,0.0,0.0,0.0
2020-02-28,0.0,0.0,0.0,0.0
2020-02-29,0.0,0.0,0.0,0.0
2020-03-01,0.0,0.0,0.0,0.0
2020-03-02,0.0,0.0,0.0,0.0
2020-03-03,0.0,0.0,0.0,0.0
2020-03-04,0.0,0.0,0.0,0.0
2020-03-05,0.0,0.0,0.0,0.0
2020-03-06,0.0,0.0,0.0,0.0
2020-03-07,0.0,0.0,0.0,0.0
2020-03-08,0.0,0.0,0.0,0.0
2020-03-09,2.0,2.0,0.0,0.0
2020-03-10,3.0,3.0,0.0,0.0
2020-03-11,6.0,6.0,0.0,0.0
2020-03-12,6.0,6.0,0.0,0.0
2020-03-13,14.0,14.0,0.0,0.0
2020-03-14,26.0,26.0,0.0,0.0
2020-03-15,26.0,26.0,0.0,0.0
2020-03-16,33.0,33.0,0.0,0.0
2020-03-17,46.0,46.0,0.0,0.0
2020-03-18,49.0,49.0,0.0,0.0
2020-03-19,67.0,67.0,0.0,0.0
2020-03-20,67.0,67.0,0.0,0.0
2020-03-21,84.0,84.0,0.0,0.0
2020-03-22,91.0,95.0,1.0,3.0
2020-03-23,112.0,116.0,1.0,3.0
2020-03-24,118.0,124.0,3.0,3.0
2020-03-25,126.0,132.0,3.0,3.0
2020-03-26,139.0,146.0,3.0,4.0
2020-03-27,142.0,162.0,5.0,15.0
2020-03-28,159.0,179.0,5.0,15.0
2020-03-29,194.0,214.0,5.0,15.0
2020-03-30,201.0,230.0,7.0,22.0
2020-03-31,231.0,262.0,8.0,23.0
2020-04-01,283.0,320.0,9.0,28.0
2020-04-02,318.0,356.0,10.0,28.0
2020-04-03,357.0,396.0,11.0,28.0
2020-04-04,382.0,426.0,11.0,33.0
2020-04-05,400.0,446.0,9.0,37.0
2020-04-06,411.0,465.0,9.0,45.0
2020-04-07,438.0,494.0,9.0,47.0
2020-04-08,465.0,526.0,9.0,52.0
2020-04-09,501.0,564.0,10.0,53.0
2020-04-10,527.0,595.0,10.0,58.0
2020-04-11,545.0,616.0,10.0,61.0
2020-04-12,557.0,633.0,11.0,65.0
2020-04-13,585.0,662.0,12.0,65.0
2020-04-14,618.0,695.0,12.0,65.0
2020-04-15,638.0,715.0,12.0,65.0
2020-04-16,646.0,735.0,12.0,77.0
2020-04-17,661.0,750.0,12.0,77.0
2020-04-18,670.0,761.0,12.0,79.0
2020-04-19,674.0,767.0,12.0,81.0
2020-04-20,679.0,772.0,12.0,81.0
2020-04-21,674.0,784.0,12.0,98.0
2020-04-22,679.0,790.0,13.0,98.0
2020-04-23,684.0,795.0,13.0,98.0
2020-04-24,692.0,804.0,14.0,98.0
2020-04-25,648.0,810.0,14.0,148.0
2020-04-26,655.0,817.0,14.0,148.0
2020-04-27,659.0,822.0,15.0,148.0
2020-04-28,674.0,837.0,15.0,148.0
2020-04-29,680.0,843.0,15.0,148.0
2020-04-30,539.0,850.0,15.0,296.0
2020-05-01,546.0,857.0,15.0,296.0
2020-05-02,553.0,864.0,15.0,296.0
2020-05-03,561.0,872.0,15.0,296.0
2020-05-04,563.0,874.0,15.0,296.0
2020-05-05,567.0,878.0,15.0,296.0
2020-05-06,572.0,883.0,15.0,296.0
2020-05-07,474.0,889.0,15.0,400.0
2020-05-08,476.0,891.0,15.0,400.0
2020-05-09,476.0,892.0,15.0,401.0
2020-05-10,481.0,898.0,16.0,401.0
2020-05-11,484.0,901.0,16.0,401.0
2020-05-12,438.0,903.0,16.0,449.0
2020-05-13,440.3525418658055,905.0,15.647458134194508,449.0
2020-05-14,410.3179618478294,907.0,15.682038152170628,481.0
2020-05-15,413.2660918208652,910.0,15.73390817913481,481.0
2020-05-16,383.196931784913,914.0,15.80306821508705,515.0
2020-05-17,385.1623517669368,916.0,15.83764823306317,515.0
2020-05-18,386.1450617579488,917.0,15.854938242051231,515.0
2020-05-19,387.1277717489607,918.0,15.872228251039292,515.0
2020-05-20,390.0586117130085,922.0,15.941388286991533,516.0
2020-05-21,346.0413217040204,923.0,15.958678295979592,561.0
2020-05-22,349.97216166806817,927.0,16.027838331931832,561.0
2020-05-23,316.97216166806817,927.0,16.027838331931832,594.0
2020-05-24,324.83384159616367,935.0,16.166158403836317,594.0
2020-05-25,326.79926157818755,937.0,16.200738421812435,594.0
2020-05-26,328.76468156021144,939.0,16.235318439788557,594.0
2020-05-27,328.76468156021144,939.0,16.235318439788557,594.0
2020-05-28,140.73010154223533,941.0,16.269898457764675,784.0
2020-05-29,141.71281153324725,942.0,16.28718846675274,784.0
2020-05-30,137.67823151527114,944.0,16.321768484728857,790.0
2020-05-31,137.67823151527114,944.0,16.321768484728857,790.0
2020-06-01,142.59178147033083,949.0,16.40821852966916,790.0
2020-06-02,145.53991144336666,952.0,16.46008855663334,790.0
2020-06-03,151.4361713894383,958.0,16.5638286105617,790.0
2020-06-04,151.4361713894383,958.0,16.5638286105617,790.0
2020-06-05,136.4015913714622,960.0,16.598408628537822,807.0
2020-06-06,136.4015913714622,960.0,16.598408628537822,807.0
2020-06-07,140.33243133550994,964.0,16.667568664490062,807.0
2020-06-08,146.22869128158158,970.0,16.771308718418425,807.0
2020-06-09,148.19411126360546,972.0,16.805888736394543,807.0
2020-06-10,150.15953124562932,974.0,16.840468754370665,807.0
2020-06-11,151.14224123664127,975.0,16.857758763358724,807.0
2020-06-12,156.05579119170096,980.0,16.944208808299027,807.0
2020-06-13,156.05579119170096,980.0,16.944208808299027,807.0
